query_id,ground_truth_label,ground_truth_evidence_doc_id,top1_evidence_doc_id,top1_retrieval_correct,claim_text,verdict,confidence,explanation,selected_rank,documents_evaluated,total_latency_ms,parse_success_all,evaluated
hmx-0000,SUPPORTED,evdoc-395425c84d623f3b,evdoc-395425c84d623f3b,True,The secret chamber of Jagannath Puri temple's khazana vault contains valuable items.,INSUFFICIENT_EVIDENCE,0.0,The evidence provided does not explicitly state that there is a secret chamber or that valuable items are contained within the Ratna Bhandar. It only mentions that ornaments and valuables were found in the outer chamber during the reopening.,,3,10046.3,True,"[{'rank': 1, 'doc_id': 'evdoc-395425c84d623f3b', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The evidence provided does not explicitly state that there is a secret chamber or that valuable items are contained within the Ratna Bhandar. It only mentions that ornaments and valuables were found in the outer chamber during the reopening.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The evidence provided does not explicitly state that there is a secret chamber or that valuable items are contained within the Ratna Bhandar. It only mentions that ornaments and valuables were found in the outer chamber during the reopening.', 'latency_ms': 3687.7}, {'rank': 2, 'doc_id': 'evdoc-f21ae84a44e44446', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The provided evidence does not contain any information related to the secret chamber of Jagannath Puri temple's khazana vault or any claims about valuable items inside."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information related to the secret chamber of Jagannath Puri temple's khazana vault or any claims about valuable items inside."", 'latency_ms': 3115.5}, {'rank': 3, 'doc_id': 'evdoc-eaca12f4cb08cf59', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence discusses an incident involving the destruction of a Muslim shrine in Bangladesh, but does not provide any information about the Jagannath Puri temple or its khazana vault.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence discusses an incident involving the destruction of a Muslim shrine in Bangladesh, but does not provide any information about the Jagannath Puri temple or its khazana vault.', 'latency_ms': 3243.1}]"
hmx-0029,SUPPORTED,evdoc-2a9a76bca22b8a8b,evdoc-2a9a76bca22b8a8b,True,Putin made a powerful statement after Pakistan's terror attack that gained viral popularity in India's support for Pakistan.,INSUFFICIENT_EVIDENCE,1.0,The evidence provided does not address Putin's statement or its relation to Pakistan's terror attack or India's support for Pakistan.,,3,8414.8,True,"[{'rank': 1, 'doc_id': 'evdoc-2a9a76bca22b8a8b', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The provided evidence does not contain any information about Putin making a statement after Pakistan's terror attack that gained viral popularity in India's support for Pakistan."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about Putin making a statement after Pakistan's terror attack that gained viral popularity in India's support for Pakistan."", 'latency_ms': 2805.1}, {'rank': 2, 'doc_id': 'evdoc-afc412f587a09fd7', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 1.0, 'explanation': ""The evidence provided does not address Putin's statement or its relation to Pakistan's terror attack or India's support for Pakistan."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nCONFIDENCE: 1.00\nEXPLANATION: The evidence provided does not address Putin's statement or its relation to Pakistan's terror attack or India's support for Pakistan."", 'latency_ms': 2931.7}, {'rank': 3, 'doc_id': 'evdoc-33434846a286e07b', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The provided evidence does not contain any information about Putin making a statement or the viral popularity of such a statement in India's support for Pakistan."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about Putin making a statement or the viral popularity of such a statement in India's support for Pakistan."", 'latency_ms': 2678.0}]"
hmx-0030,SUPPORTED,evdoc-57d2ba86a7196a3d,evdoc-57d2ba86a7196a3d,True,Magnus Carlsen got confused during a chess game.,INSUFFICIENT_EVIDENCE,0.0,The provided evidence does not contain any information about Magnus Carlsen getting confused during a chess game.,,3,7190.2,True,"[{'rank': 1, 'doc_id': 'evdoc-57d2ba86a7196a3d', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information about Magnus Carlsen getting confused during a chess game.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about Magnus Carlsen getting confused during a chess game.', 'latency_ms': 2292.0}, {'rank': 2, 'doc_id': 'evdoc-b4b342387c53c1b8', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information about Magnus Carlsen or any confusion during a chess game.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about Magnus Carlsen or any confusion during a chess game.', 'latency_ms': 2339.8}, {'rank': 3, 'doc_id': 'evdoc-917265fc0df57aab', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information related to Magnus Carlsen or any confusion he experienced during a chess game.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information related to Magnus Carlsen or any confusion he experienced during a chess game.', 'latency_ms': 2558.4}]"
hmx-0038,SUPPORTED,evdoc-e5d61cba37b6ebc8,evdoc-e5d61cba37b6ebc8,True,A person named Monalisa was offered a movie role by a director.,CONTRADICTED,1.0,"The evidence clearly states that Sanoj Mishra offered a movie role to Monalisa Bholsle, but she was later arrested in a sexual assault case, contradicting the claim that she was offered a movie role.",1.0,1,4081.3,True,"[{'rank': 1, 'doc_id': 'evdoc-e5d61cba37b6ebc8', 'verdict': 'CONTRADICTED', 'confidence': 1.0, 'explanation': 'The evidence clearly states that Sanoj Mishra offered a movie role to Monalisa Bholsle, but she was later arrested in a sexual assault case, contradicting the claim that she was offered a movie role.', 'parse_success': True, 'raw_model_output': 'VERDICT: CONTRADICTED\nCONFIDENCE: 1.00\nEXPLANATION: The evidence clearly states that Sanoj Mishra offered a movie role to Monalisa Bholsle, but she was later arrested in a sexual assault case, contradicting the claim that she was offered a movie role.', 'latency_ms': 4081.3}]"
hmx-0044,SUPPORTED,evdoc-0eb9aad265eb5db4,evdoc-0eb9aad265eb5db4,True,"President Arvind Kejriwal awarded Khel Ratna to Manu Bhaker, D Gukesh and two other athletes.",INSUFFICIENT_EVIDENCE,0.0,"The provided evidence does not explicitly state that President Arvind Kejriwal awarded Khel Ratna to Manu Bhaker, D Gukesh, and two other athletes; it only mentions that President Droupadi Murmu presented Khel Ratna to Manu Bhaker and D Gukesh.",,3,11602.1,True,"[{'rank': 1, 'doc_id': 'evdoc-0eb9aad265eb5db4', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not explicitly state that President Arvind Kejriwal awarded Khel Ratna to Manu Bhaker, D Gukesh, and two other athletes; it only mentions that President Droupadi Murmu presented Khel Ratna to Manu Bhaker and D Gukesh.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not explicitly state that President Arvind Kejriwal awarded Khel Ratna to Manu Bhaker, D Gukesh, and two other athletes; it only mentions that President Droupadi Murmu presented Khel Ratna to Manu Bhaker and D Gukesh.', 'latency_ms': 4687.8}, {'rank': 2, 'doc_id': 'evdoc-c98c4372a4f6dcff', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information about President Arvind Kejriwal awarding Khel Ratna to Manu Bhaker, D Gukesh, or any other athletes.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about President Arvind Kejriwal awarding Khel Ratna to Manu Bhaker, D Gukesh, or any other athletes.', 'latency_ms': 3467.4}, {'rank': 3, 'doc_id': 'evdoc-57d2ba86a7196a3d', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information related to President Arvind Kejriwal awarding Khel Ratna to Manu Bhaker, D Gukesh, or any other athletes.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information related to President Arvind Kejriwal awarding Khel Ratna to Manu Bhaker, D Gukesh, or any other athletes.', 'latency_ms': 3446.9}]"
hmx-0070,SUPPORTED,evdoc-277235079ba795bd,evdoc-2a9a76bca22b8a8b,False,India claimed to have killed over 50 terrorists in the Pahalgam attack.,INSUFFICIENT_EVIDENCE,0.0,The provided evidence does not contain any information about India claiming to have killed over 50 terrorists in the Pahalgam attack. It only mentions Putin's phone call and statements regarding the terror attack in Pahalgam.,,3,8869.7,True,"[{'rank': 1, 'doc_id': 'evdoc-2a9a76bca22b8a8b', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The provided evidence does not contain any information about India claiming to have killed over 50 terrorists in the Pahalgam attack. It only mentions Putin's phone call and statements regarding the terror attack in Pahalgam."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about India claiming to have killed over 50 terrorists in the Pahalgam attack. It only mentions Putin's phone call and statements regarding the terror attack in Pahalgam."", 'latency_ms': 3729.5}, {'rank': 2, 'doc_id': 'evdoc-277235079ba795bd', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information about India claiming to have killed over 50 terrorists in the Pahalgam attack.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about India claiming to have killed over 50 terrorists in the Pahalgam attack.', 'latency_ms': 2691.6}, {'rank': 3, 'doc_id': 'evdoc-8649f37d2267ceae', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence does not contain any information related to a terrorist attack in Pahalgam or any casualties.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information related to a terrorist attack in Pahalgam or any casualties.', 'latency_ms': 2448.6}]"
hmx-0111,SUPPORTED,evdoc-01068b45243bda7e,evdoc-4c41559797d698f9,False,A police officer was appointed to care for a 9-year-old boy with a brain tumor.,CONTRADICTED,1.0,"The evidence clearly states that a circumcision surgery was performed on the boy's genitals instead of treating his injured leg, contradicting the claim of a police officer caring for a 9-year-old boy with a brain tumor.",1.0,1,3975.8,True,"[{'rank': 1, 'doc_id': 'evdoc-4c41559797d698f9', 'verdict': 'CONTRADICTED', 'confidence': 1.0, 'explanation': ""The evidence clearly states that a circumcision surgery was performed on the boy's genitals instead of treating his injured leg, contradicting the claim of a police officer caring for a 9-year-old boy with a brain tumor."", 'parse_success': True, 'raw_model_output': ""VERDICT: CONTRADICTED\nCONFIDENCE: 1.00\nEXPLANATION: The evidence clearly states that a circumcision surgery was performed on the boy's genitals instead of treating his injured leg, contradicting the claim of a police officer caring for a 9-year-old boy with a brain tumor."", 'latency_ms': 3975.8}]"
hmx-0127,SUPPORTED,evdoc-959b294406073c3e,evdoc-3f6dfaf81b0ecb01,False,Someone's appearance was noticed after 24 hours.,INSUFFICIENT_EVIDENCE,0.0,The provided evidence does not contain any information about someone's appearance being noticed after 24 hours.,,3,8421.3,True,"[{'rank': 1, 'doc_id': 'evdoc-3f6dfaf81b0ecb01', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The provided evidence does not contain any information about someone's appearance being noticed after 24 hours."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence does not contain any information about someone's appearance being noticed after 24 hours."", 'latency_ms': 2375.0}, {'rank': 2, 'doc_id': 'evdoc-19b3ab814b34d143', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': ""The evidence does not provide information about someone's appearance being noticed after 24 hours; it discusses a video related to an MLA heckling locals in Bihar."", 'parse_success': True, 'raw_model_output': ""VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The evidence does not provide information about someone's appearance being noticed after 24 hours; it discusses a video related to an MLA heckling locals in Bihar."", 'latency_ms': 3108.3}, {'rank': 3, 'doc_id': 'evdoc-a7d64e6718d99b2d', 'verdict': 'INSUFFICIENT_EVIDENCE', 'confidence': 0.0, 'explanation': 'The provided evidence describes a scenario where a thief fell asleep in an air-conditioned room but does not explicitly state how long after entering the house this occurred.', 'parse_success': True, 'raw_model_output': 'VERDICT: INSUFFICIENT_EVIDENCE\nEXPLANATION: The provided evidence describes a scenario where a thief fell asleep in an air-conditioned room but does not explicitly state how long after entering the house this occurred.', 'latency_ms': 2938.0}]"
hmx-0145,SUPPORTED,evdoc-c28e571222ec4013,evdoc-86f41a64df83c991,False,A female YouTube star murdered her ex-boyfriend's father and disposed of his body in a gutter.,CONTRADICTED,1.0,"The evidence clearly shows that the video in question does not involve a murder or any abuse of Karan Johar's father, but rather a negative review of the movie 'Baar Baar Dekho' in 2016.",1.0,1,4385.9,True,"[{'rank': 1, 'doc_id': 'evdoc-86f41a64df83c991', 'verdict': 'CONTRADICTED', 'confidence': 1.0, 'explanation': ""The evidence clearly shows that the video in question does not involve a murder or any abuse of Karan Johar's father, but rather a negative review of the movie 'Baar Baar Dekho' in 2016."", 'parse_success': True, 'raw_model_output': ""VERDICT: CONTRADICTED\nCONFIDENCE: 1.00\nEXPLANATION: The evidence clearly shows that the video in question does not involve a murder or any abuse of Karan Johar's father, but rather a negative review of the movie 'Baar Baar Dekho' in 2016."", 'latency_ms': 4385.9}]"
hmx-0168,SUPPORTED,evdoc-105962d8787494d4,evdoc-105962d8787494d4,True,A fitness influencer drove a car at over 140 km/h to impress a girl.,CONTRADICTED,1.0,"The evidence clearly states that the fitness influencer Rajat Dalal hit a biker with an SUV at 143 km/h, contradicting the claim of driving at over 140 km/h to impress a girl.",1.0,1,4305.0,True,"[{'rank': 1, 'doc_id': 'evdoc-105962d8787494d4', 'verdict': 'CONTRADICTED', 'confidence': 1.0, 'explanation': 'The evidence clearly states that the fitness influencer Rajat Dalal hit a biker with an SUV at 143 km/h, contradicting the claim of driving at over 140 km/h to impress a girl.', 'parse_success': True, 'raw_model_output': 'VERDICT: CONTRADICTED\nCONFIDENCE: 1.00\nEXPLANATION: The evidence clearly states that the fitness influencer Rajat Dalal hit a biker with an SUV at 143 km/h, contradicting the claim of driving at over 140 km/h to impress a girl.', 'latency_ms': 4305.0}]"
