ocr_test_index,query_id,reference_metadata_text,hi_en_ocr_text,en_only_ocr_text,gold_transcription,include_in_final_ocr_test,annotation_notes
1,hmx-0614,"Priyanka Chopra ne diya kada jawaab maathay par nakli aankh rakhne wala Shankar Bhagwan apne bete ko nahi pehchaan saka, us dharm ke maanne waale nibhaari tumko kya ghanta pehchaanega!",e०e 2 Priyanka Chopra ne diya kada jawaab maathay YSHES * Par nakli aankh rakhne `wala Shankar Bhaqwan apne bete ko nahi pehchaan saka us dharm ke maanne vaale nibhaari tumko kya ghanta pehchaanega! GAIE,2094 6 [Priyanka Chopra ne diya kada jawaab maathay Ranto par nakli aankh rakhne 0 wala Shankar Bhagwan apne bete ko nahi pehchaan saka; uS dharm ke maanne waale nibhaari tumko kya ghanta pehchaanegal (AKE),"Priyanka Chopra ne diya kada jawaab maathay par nakli aankh rakhne wala Shankar Bhagwan apne bete ko nahi pehchaan saka, us dharm ke maanne waale nibhaari tumko kya ghanta pehchaanega!",yes,
2,hmx-0682,One Direction ke 15 saal ka jashn – wo band jisne ek poori generation ko badal diya,&e MO One Direction ke 1५ saa ka jashn wo band jisne ek poori generation ko badal INDIA TODAY,C MO IOne Direction ke 15 saalka jashn wo band jisne ek S poori generation ko badal INDIA TODAY,One Direction ke 15 saal ka jashn – wo band jisne ek poori generation ko badal diya,yes,
3,hmx-0345,"""SAMAY RAINA ko SUPREME COURT ne summon kiya BALRAJ SINGH ko ORRY ke saath cheat karne ke liye.""","""SAMAY PAINA ko SUPREME COURT kiya BALRAJ SINGH ko ne summon ORRY ke saath cheat karne ke liye 0] GENTLEMAN LOGO KE SATH HAMESHA BURA KYU HOTA HA '","""SAMAY RAINA ko SUPREME COURT kiya BALRAJ SINGH ko ne summon ORRY ke saath cheat karne ke liye: I GENTLEMAN LOGO KE SATH HAMESHA BURA KYU HOTA HA'","""SAMAY RAINA ko SUPREME COURT ne summon kiya BALRAJ SINGH ko ORRY ke saath cheat karne ke liye."" GENTLEMAN LOGO KE SATH HAMESHA BURA KYU HOTA HA",yes,
4,hmx-0239,"‘Ab ghar lautne ka waqt aa gaya hai…’: Vikrant Massey ne 37 ki umar mein acting se retirement ka announcement kar diya, fans hairaan Career ke peak par hone ke baad bhi unhone yeh decision liya.","nexT alva DOOR Ab ghar lautne ka waqt aa gaya hai. Vikrant Massey ne ३७ ki umar mein acting se retirement ka announcement kar diya, fans hairaan Career ke peak par hone ke baad bhi unhone yeh decision liya","next ALa DooR 'Ab ghar lautne ka waqt aa gaya hai._ Vikrant Massey ne 37 ki umar mein acting se retirement ka announcement kar diya, fans hairaan Career ke peak par hone ke baad bhi unhone yeh decision liya.","‘Ab ghar lautne ka waqt aa gaya hai…’: Vikrant Massey ne 37 ki umar mein acting se retirement ka announcement kar diya, fans hairaan Career ke peak par hone ke baad bhi unhone yeh decision liya.",yes,
5,hmx-0243,10vi class ka baccha Maharashtra mein illegal hospital chala raha tha: Aakhri 3 saalon mein hazaaron patients ka ilaaj kiya. Har din 65-70 patients ko dekhta tha aur sabse ₹500 charge karta tha.,0ilp atval ZOvi class ka baccha Maharashtra mein illegal hospital chala raha thaः Aakhri 3 saalon mein hazaaron patients ka ilaaj kiya. Har din ६५-७० patients ko dekhta tha aur sabse =५०० charge karta tha.,T_ aa 1Ovi class ka baccha Maharashtra mein illegal hospital chala raha tha: Aakhri 3 saalon mein hazaaron patients ka ilaaj kiya. Har din 65-70 patients ko dekhta tha aur sabse {500 charge karta tha.,10vi class ka baccha Maharashtra mein illegal hospital chala raha tha: Aakhri 3 saalon mein hazaaron patients ka ilaaj kiya. Har din 65-70 patients ko dekhta tha aur sabse ₹500 charge karta tha.,yes,
6,hmx-0463,Kahin Coldplay ka Concert lag raha tha bhai,"Culture आNण Dव""p WEY $ Kanin Colaplay ka Concert lag raha tha bhai",Culture Ioni IDrip WES 5' Kahin Coldplay ka Concert lag Iraha tha bhai,Kahin Coldplay ka Concert lag raha tha bhai,yes,
7,hmx-0336,"DILJIT DOSANJH ek national asset hai, Indian culture ka global ambassador hai DILJIT DOSANJH ek Khalistani hai, usse Pakistan pasand hai. Woh anti-national hai","DILJIT DOSANJH IS A NATIONAL ASSET , GLOBAL AMBASSADOR OF INDIAN MODI NNO IT GELL DILJIT DOSANJH IS AKHALISTANI, LOVES PAKISTAN. HES A ANTI-NATIONAL","DILJIT DOSANJH IS A NATIONAL ASSET , GLOBAL AMBASSADOR OF INDIAN MODI Ac It CELL DILJIT DOSANJH IS A KHALISTANI, LOVES PAKISTAN. HE'S A ANTI-NATIONAL","DILJIT DOSANJH IS A NATIONAL ASSET, GLOBAL AMBASSADOR OF INDIAN *MODI *IT CELL DILJIT DOSANJH IS A KHALISTANI, LOVES PAKISTAN. HE'S A ANTI-NATIONAL",yes,
8,hmx-0000,Jagannath Puri temple ka khazana vault 46 saal baad khula: Secret chamber ke andar kya hai?,Tl atva Jagannath Puri temple ka khazana vault ४६ saal baad khula: Secret chamber ke andar kya hai? Yo lr garagraater = ड्लै 0 @,"Thc atva Jagannath Puri temple ka khazana vault 46 saal baad khula: Secret chamber ke andar kya hai? Yould a2 E#ph text ""57 1 0 @",Jagannath Puri temple ka khazana vault 46 saal baad khula: Secret chamber ke andar kya hai?,yes,
9,hmx-0450,Diljeet ISI ke Samne,Diljeet ISI ke Samne DanlsSeuma MEue,Diljeet ISI ke Samne Dank Segma Mere,Diljeet ISI ke Samne,yes,
10,hmx-0634,"Mumbai se West Bengal jaane wali migrant train, 10 May 2020 ko","Mumcal ६a Wbs Baroal laane नali mmopnt Tan 1० 147, 2020 19 ACTUY ACY ९ 07व ४[५ [","LMumlji fWls Beteni Ijune aoli mocnt tn, 0o 4ay 2020 10"" TACTLY Tact 0 Uenalle eatn R 4 [ 5 [","Mumbai se West Bengal jaane wali migrant train, 10 May 2020 ko",yes,
11,hmx-0325,"Switzerland me ek aisa hotel hai jiska na koi wall hai, na roof — sirf ek bed hai open sky ke neeche! Null Stern Hotel Swiss Alps me 6,463 ft ki height par hai aur yahan ek raat ka stay ₹18,000 tak ka padta hai.","ilvil lilo Switzerland me ek aisa hotel hai jiska na koi wall hai, na roof sirf ek bed hai open sky ke neeche! Null Stern Hotel Swiss Alps me 6,४६३ ft ki height par hai aur yahan ek raat ka stay Rs. १८,००० tak ka padta hai. &ै","AWa Tlu Switzerland me ek aisa hotel hai jiska na koi wall hai, na roof sirf ek bed hai open sky ke neechel Null Stern Hotel Swiss Alps me 6,463 ft ki height par hai aur yahan ek raat ka stay Rs. 18,000 tak ka padta hai. 1 8","Switzerland me ek aisa hotel hai jiska na koi wall hai, na roof — sirf ek bed hai open sky ke neeche! Null Stern Hotel Swiss Alps me 6,463 ft ki height par hai aur yahan ek raat ka stay Rs. 18,000 tak ka padta hai.",yes,
12,hmx-0579,"Kerala ke ek church se 7000 crore ka kala dhan pakda gaya, lekin koi media yeh nahi dikhaega.","atLl+ 3 लपड D oihahPela Kerala ke ek church se ७००० crore ka [1_:29 +117773 "" Lya anti Hindu neta kala dlhan pakda gaya lekin koi media yeh nahi dikhayega Mडागना0 99 99 ""","Qd B Chee 0-iHakoda Kerala ke ek church se 7000 crore ka RLo LA 1 ya anti-Hindu neta kala dhan pakda gaya, lekin koi media yeh nahi dikhayega: 'MISLEAOING _ 2 7 7","Kerala ke ek church se 7000 crore ka kala dhan pakda gaya, lekin koi media yeh nahi dikhayega.",yes,
13,hmx-0347,"""PM MODI ne reportedly PAK ARMY CHIEF ko apne ghar invite kiya BMW ka flat tire theek karne ke liye.""","""M MODI ne reportedly PK ARVY CHIEF ko apne ghar invite kiya BMW ka flat tire theek karne ke liye 0० FINALLY GIVING ASIM BHAI A CORRECT JOB!!","""PM MODI ne reportedly PAK ARMY CHIEF ko apne ghar invite kiya BMW ka flat tire theek karne ke liye: HI FINALLY GIVING ASIM BHAI A CORRECT JOBW!","""PM MODI ne reportedly PAK ARMY CHIEF ko apne ghar invite kiya BMW ka flat tire theek karne ke liye."" FINALLY GIVING ASIM BHAI A CORRECT JOB!!",yes,
